<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.13	07:00:00	1.09368	1.09393	1.09356	1.09392	867	0	10
2024.08.13	08:00:00	1.09392	1.09410	1.09373	1.09397	1071	0	10
2024.08.13	09:00:00	1.09407	1.09409	1.09324	1.09332	2310	0	10
2024.08.13	10:00:00	1.09332	1.09348	1.09263	1.09301	2492	0	10
2024.08.13	11:00:00	1.09301	1.09301	1.09205	1.09234	2772	0	10
2024.08.13	12:00:00	1.09234	1.09269	1.09136	1.09197	3323	0	10
2024.08.13	13:00:00	1.09197	1.09251	1.09179	1.09231	2880	0	10
2024.08.13	14:00:00	1.09231	1.09322	1.09226	1.09301	2760	0	10
2024.08.13	15:00:00	1.09301	1.09466	1.09254	1.09408	5616	0	10
2024.08.13	16:00:00	1.09408	1.09623	1.09380	1.09587	5724	0	10
2024.08.13	17:00:00	1.09585	1.09618	1.09501	1.09557	4189	0	10
2024.08.13	18:00:00	1.09559	1.09585	1.09480	1.09533	3509	0	10
2024.08.13	19:00:00	1.09534	1.09740	1.09527	1.09722	3026	0	10
2024.08.13	20:00:00	1.09725	1.09785	1.09697	1.09766	2842	0	10
2024.08.13	21:00:00	1.09766	1.09994	1.09766	1.09992	3097	0	10
2024.08.13	22:00:00	1.09991	1.09996	1.09938	1.09959	2902	0	10
2024.08.13	23:00:00	1.09960	1.09988	1.09920	1.09931	878	0	10
2024.08.14	00:00:00	1.09911	1.09922	1.09820	1.09910	667	0	21
2024.08.14	01:00:00	1.09909	1.09972	1.09908	1.09964	645	0	10
2024.08.14	02:00:00	1.09965	1.09981	1.09941	1.09958	956	0	10
2024.08.14	03:00:00	1.09958	1.09970	1.09917	1.09919	1346	0	10
2024.08.14	04:00:00	1.09919	1.09965	1.09904	1.09918	1325	0	10
2024.08.14	05:00:00	1.09918	1.09940	1.09900	1.09914	1813	0	10
2024.08.14	06:00:00	1.09914	1.09916	1.09887	1.09899	1335	0	10
2024.08.14	07:00:00	1.09899	1.09931	1.09895	1.09928	849	0	10
2024.08.14	08:00:00	1.09928	1.09947	1.09895	1.09905	1022	0	10
2024.08.14	09:00:00	1.09905	1.09959	1.09863	1.09949	2504	0	10
2024.08.14	10:00:00	1.09949	1.10077	1.09948	1.10057	2703	0	4
2024.08.14	11:00:00	1.10056	1.10198	1.10025	1.10189	3189	0	4
2024.08.14	12:00:00	1.10190	1.10285	1.10149	1.10255	2217	0	8
2024.08.14	13:00:00	1.10255	1.10255	1.10177	1.10218	2411	0	8
2024.08.14	14:00:00	1.10219	1.10250	1.10198	1.10223	2104	0	8
2024.08.14	15:00:00	1.10228	1.10354	1.10038	1.10167	7457	0	8
2024.08.14	16:00:00	1.10165	1.10424	1.10160	1.10374	6431	0	8
2024.08.14	17:00:00	1.10374	1.10471	1.10269	1.10354	5453	0	8
2024.08.14	18:00:00	1.10354	1.10361	1.10211	1.10231	2781	0	8
2024.08.14	19:00:00	1.10232	1.10240	1.10153	1.10182	3076	0	8
2024.08.14	20:00:00	1.10182	1.10183	1.10130	1.10141	2210	0	9
2024.08.14	21:00:00	1.10141	1.10170	1.10108	1.10160	1389	0	8
2024.08.14	22:00:00	1.10160	1.10164	1.10113	1.10129	2739	0	9
2024.08.14	23:00:00	1.10129	1.10145	1.10108	1.10118	1247	0	10
2024.08.15	00:00:00	1.10116	1.10130	1.10091	1.10111	228	0	26
2024.08.15	01:00:00	1.10112	1.10150	1.10111	1.10130	508	0	10
2024.08.15	02:00:00	1.10135	1.10138	1.10097	1.10115	963	0	10
2024.08.15	03:00:00	1.10117	1.10142	1.10091	1.10097	1378	0	10
2024.08.15	04:00:00	1.10096	1.10099	1.10032	1.10068	2130	0	10
2024.08.15	05:00:00	1.10068	1.10112	1.10055	1.10086	1693	0	10
2024.08.15	06:00:00	1.10086	1.10107	1.10074	1.10080	1017	0	10
2024.08.15	07:00:00	1.10081	1.10121	1.10079	1.10116	798	0	10
2024.08.15	08:00:00	1.10116	1.10131	1.10086	1.10096	1224	0	10
2024.08.15	09:00:00	1.10098	1.10154	1.10080	1.10145	2401	0	10
2024.08.15	10:00:00	1.10145	1.10154	1.10074	1.10134	2632	0	10
2024.08.15	11:00:00	1.10133	1.10134	1.10052	1.10061	2112	0	10
2024.08.15	12:00:00	1.10060	1.10128	1.10033	1.10118	1788	0	10
2024.08.15	13:00:00	1.10118	1.10140	1.10080	1.10101	996	0	10
2024.08.15	14:00:00	1.10101	1.10137	1.10098	1.10132	2394	0	10
2024.08.15	15:00:00	1.10133	1.10142	1.09518	1.09565	7803	0	10
2024.08.15	16:00:00	1.09565	1.09698	1.09495	1.09686	8087	0	10
2024.08.15	17:00:00	1.09686	1.09862	1.09651	1.09829	6793	0	10
2024.08.15	18:00:00	1.09830	1.09895	1.09816	1.09856	4473	0	10
2024.08.15	19:00:00	1.09856	1.09892	1.09774	1.09779	3083	0	10
2024.08.15	20:00:00	1.09779	1.09796	1.09715	1.09742	2517	0	10
2024.08.15	21:00:00	1.09742	1.09793	1.09737	1.09782	2415	0	10
2024.08.15	22:00:00	1.09782	1.09799	1.09724	1.09740	2334	0	10
2024.08.15	23:00:00	1.09741	1.09741	1.09701	1.09706	966	0	10
2024.08.16	00:00:00	1.09704	1.09717	1.09688	1.09712	140	0	25
2024.08.16	01:00:00	1.09712	1.09739	1.09704	1.09712	491	0	10
2024.08.16	02:00:00	1.09715	1.09749	1.09711	1.09724	575	0	10
2024.08.16	03:00:00	1.09724	1.09770	1.09718	1.09756	1480	0	10
2024.08.16	04:00:00	1.09756	1.09813	1.09743	1.09809	1935	0	10
2024.08.16	05:00:00	1.09809	1.09826	1.09781	1.09812	1114	0	10
2024.08.16	06:00:00	1.09812	1.09817	1.09767	1.09771	1035	0	10
2024.08.16	07:00:00	1.09770	1.09823	1.09762	1.09820	788	0	10
2024.08.16	08:00:00	1.09821	1.09860	1.09812	1.09855	1164	0	10
2024.08.16	09:00:00	1.09854	1.09867	1.09807	1.09814	2576	0	10
2024.08.16	10:00:00	1.09814	1.09861	1.09767	1.09849	3203	0	10
2024.08.16	11:00:00	1.09849	1.09897	1.09797	1.09808	3463	0	10
2024.08.16	12:00:00	1.09808	1.09899	1.09787	1.09897	2568	0	10
2024.08.16	13:00:00	1.09897	1.09949	1.09851	1.09938	1972	0	10
2024.08.16	14:00:00	1.09938	1.09949	1.09890	1.09921	1990	0	10
2024.08.16	15:00:00	1.09921	1.09946	1.09852	1.09938	2711	0	10
2024.08.16	16:00:00	1.09939	1.10044	1.09917	1.10022	3434	0	10
2024.08.16	17:00:00	1.10018	1.10018	1.09826	1.09904	4220	0	10
2024.08.16	18:00:00	1.09904	1.09976	1.09902	1.09960	2422	0	10
2024.08.16	19:00:00	1.09960	1.10041	1.09956	1.10036	1567	0	10
2024.08.16	20:00:00	1.10036	1.10126	1.10036	1.10126	1843	0	10
2024.08.16	21:00:00	1.10126	1.10213	1.10092	1.10205	1691	0	10
2024.08.16	22:00:00	1.10205	1.10248	1.10180	1.10244	1747	0	10
2024.08.16	23:00:00	1.10243	1.10289	1.10221	1.10271	914	0	10
2024.08.19	00:00:00	1.10262	1.10262	1.10225	1.10241	204	0	25
2024.08.19	01:00:00	1.10241	1.10333	1.10241	1.10250	1148	0	10
2024.08.19	02:00:00	1.10252	1.10261	1.10226	1.10246	924	0	10
2024.08.19	03:00:00	1.10245	1.10362	1.10231	1.10302	1993	0	10
2024.08.19	04:00:00	1.10302	1.10334	1.10274	1.10309	1634	0	10
2024.08.19	05:00:00	1.10309	1.10318	1.10287	1.10306	771	0	10
2024.08.19	06:00:00	1.10307	1.10402	1.10301	1.10388	1397	0	10
2024.08.19	07:00:00	1.10388	1.10416	1.10365	1.10396	1141	0	10
2024.08.19	08:00:00	1.10396	1.10490	1.10396	1.10474	2064	0	10
2024.08.19	09:00:00	1.10474	1.10500	1.10407	1.10420	2409	0	10
2024.08.19	10:00:00	1.10420	1.10471	1.10402	1.10427	2257	0	10
2024.08.19	11:00:00	1.10426	1.10504	1.10355	1.10370	2260	0	10
2024.08.19	12:00:00	1.10370	1.10411	1.10344	1.10350	1762	0	10
2024.08.19	13:00:00	1.10350	1.10381	1.10308	1.10369	2070	0	10
2024.08.19	14:00:00	1.10367	1.10437	1.10325	1.10422	3098	0	10
2024.08.19	15:00:00	1.10422	1.10444	1.10345	1.10388	3407	0	10
2024.08.19	16:00:00	1.10388	1.10445	1.10301	1.10444	3996	0	10
2024.08.19	17:00:00	1.10444	1.10735	1.10430	1.10655	5595	0	10
2024.08.19	18:00:00	1.10654	1.10720	1.10597	1.10692	3628	0	10
2024.08.19	19:00:00	1.10692	1.10739	1.10671	1.10735	2147	0	10
2024.08.19	20:00:00	1.10735	1.10769	1.10703	1.10769	1380	0	10
2024.08.19	21:00:00	1.10769	1.10849	1.10764	1.10814	2321	0	10
2024.08.19	22:00:00	1.10814	1.10863	1.10789	1.10835	1613	0	10
2024.08.19	23:00:00	1.10835	1.10859	1.10815	1.10844	1009	0	10
2024.08.20	00:00:00	1.10837	1.10846	1.10803	1.10832	248	0	21
2024.08.20	01:00:00	1.10833	1.10867	1.10833	1.10852	420	0	10
2024.08.20	02:00:00	1.10852	1.10866	1.10831	1.10855	878	0	10
2024.08.20	03:00:00	1.10856	1.10871	1.10799	1.10818	1944	0	10
2024.08.20	04:00:00	1.10818	1.10871	1.10815	1.10853	2047	0	10
2024.08.20	05:00:00	1.10853	1.10868	1.10750	1.10761	1615	0	10
2024.08.20	06:00:00	1.10761	1.10791	1.10749	1.10755	1573	0	10
2024.08.20	07:00:00	1.10754	1.10789	1.10748	1.10769	1015	0	10
2024.08.20	08:00:00	1.10768	1.10777	1.10726	1.10765	1426	0	10
2024.08.20	09:00:00	1.10766	1.10820	1.10741	1.10811	2611	0	10
2024.08.20	10:00:00	1.10811	1.10870	1.10717	1.10867	3280	0	10
2024.08.20	11:00:00	1.10867	1.10888	1.10777	1.10796	3299	0	10
2024.08.20	12:00:00	1.10796	1.10819	1.10749	1.10756	2626	0	10
2024.08.20	13:00:00	1.10756	1.10826	1.10751	1.10819	1907	0	10
2024.08.20	14:00:00	1.10819	1.10865	1.10766	1.10808	2330	0	10
2024.08.20	15:00:00	1.10807	1.10986	1.10803	1.10983	3481	0	10
2024.08.20	16:00:00	1.10984	1.11051	1.10925	1.11020	5002	0	10
2024.08.20	17:00:00	1.11021	1.11168	1.10934	1.11116	5744	0	10
2024.08.20	18:00:00	1.11116	1.11121	1.10995	1.11050	4404	0	10
2024.08.20	19:00:00	1.11050	1.11190	1.11039	1.11148	3253	0	10
2024.08.20	20:00:00	1.11148	1.11167	1.11087	1.11160	2318	0	10
2024.08.20	21:00:00	1.11160	1.11224	1.11155	1.11207	2216	0	10
2024.08.20	22:00:00	1.11206	1.11273	1.11192	1.11244	1983	0	10
2024.08.20	23:00:00	1.11244	1.11299	1.11238	1.11291	1148	0	10
2024.08.21	00:00:00	1.11282	1.11286	1.11245	1.11283	333	0	23
2024.08.21	01:00:00	1.11284	1.11286	1.11255	1.11285	571	0	10
2024.08.21	02:00:00	1.11283	1.11315	1.11266	1.11274	889	0	10
2024.08.21	03:00:00	1.11275	1.11325	1.11252	1.11276	1549	0	10
2024.08.21	04:00:00	1.11277	1.11280	1.11189	1.11215	1975	0	10
2024.08.21	05:00:00	1.11215	1.11252	1.11201	1.11216	1315	0	10
2024.08.21	06:00:00	1.11216	1.11223	1.11170	1.11208	1199	0	10
2024.08.21	07:00:00	1.11208	1.11212	1.11164	1.11190	996	0	10
2024.08.21	08:00:00	1.11190	1.11209	1.11161	1.11176	1248	0	10
2024.08.21	09:00:00	1.11176	1.11197	1.11131	1.11179	2485	0	10
2024.08.21	10:00:00	1.11178	1.11287	1.11104	1.11142	3380	0	10
2024.08.21	11:00:00	1.11142	1.11223	1.11109	1.11183	3075	0	10
2024.08.21	12:00:00	1.11183	1.11253	1.11133	1.11169	2010	0	10
2024.08.21	13:00:00	1.11169	1.11259	1.11156	1.11248	2176	0	10
2024.08.21	14:00:00	1.11248	1.11248	1.11100	1.11147	3001	0	10
2024.08.21	15:00:00	1.11149	1.11299	1.11133	1.11248	4481	0	10
2024.08.21	16:00:00	1.11247	1.11277	1.11113	1.11145	5430	0	10
2024.08.21	17:00:00	1.11145	1.11298	1.10985	1.11246	14784	0	10
2024.08.21	18:00:00	1.11245	1.11477	1.11244	1.11421	5948	0	10
2024.08.21	19:00:00	1.11421	1.11481	1.11415	1.11463	3589	0	10
2024.08.21	20:00:00	1.11463	1.11583	1.11455	1.11554	2876	0	10
2024.08.21	21:00:00	1.11551	1.11740	1.11550	1.11616	5046	0	10
2024.08.21	22:00:00	1.11616	1.11616	1.11512	1.11517	2618	0	10
2024.08.21	23:00:00	1.11519	1.11524	1.11470	1.11506	920	0	10
2024.08.22	00:00:00	1.11488	1.11525	1.11433	1.11473	542	0	27
2024.08.22	01:00:00	1.11472	1.11562	1.11469	1.11561	632	0	10
2024.08.22	02:00:00	1.11561	1.11581	1.11530	1.11548	790	0	10
2024.08.22	03:00:00	1.11550	1.11568	1.11452	1.11475	2018	0	10
2024.08.22	04:00:00	1.11475	1.11491	1.11424	1.11430	1761	0	10
2024.08.22	05:00:00	1.11430	1.11444	1.11404	1.11430	1405	0	10
2024.08.22	06:00:00	1.11430	1.11454	1.11426	1.11445	1339	0	10
2024.08.22	07:00:00	1.11445	1.11456	1.11406	1.11432	1162	0	10
2024.08.22	08:00:00	1.11432	1.11443	1.11402	1.11429	1492	0	10
2024.08.22	09:00:00	1.11428	1.11497	1.11409	1.11494	2659	0	10
2024.08.22	10:00:00	1.11494	1.11642	1.11271	1.11370	4558	0	10
2024.08.22	11:00:00	1.11365	1.11509	1.11365	1.11425	3840	0	10
2024.08.22	12:00:00	1.11424	1.11426	1.11332	1.11396	2645	0	10
2024.08.22	13:00:00	1.11396	1.11460	1.11324	1.11452	2016	0	10
2024.08.22	14:00:00	1.11452	1.11452	1.11320	1.11366	2841	0	10
2024.08.22	15:00:00	1.11366	1.11431	1.11252	1.11402	4620	0	10
2024.08.22	16:00:00	1.11402	1.11415	1.11121	1.11189	6396	0	10
2024.08.22	17:00:00	1.11188	1.11195	1.10981	1.11148	7157	0	10
